record,policy,det_hits,det_total,detection_rate,energy_mAh
228,Always-On,222,222,100.0,7.520833333333333
228,Heuristic,145,222,65.31531531531532,3.5430555555555556
228,RL-Fixed,214,222,96.3963963963964,7.211111111111111
230,Always-On,1,1,100.0,7.520833333333333
230,Heuristic,1,1,100.0,1.2833333333333334
230,RL-Fixed,1,1,100.0,7.084722222222222
231,Always-On,261,261,100.0,7.520833333333333
231,Heuristic,251,261,96.16858237547893,5.508333333333334
231,RL-Fixed,247,261,94.6360153256705,7.169444444444444
232,Always-On,361,361,100.0,7.520833333333333
232,Heuristic,361,361,100.0,7.520833333333333
232,RL-Fixed,343,361,95.01385041551247,7.190277777777778
233,Always-On,350,350,100.0,7.520833333333333
233,Heuristic,335,350,95.71428571428572,7.011111111111111
233,RL-Fixed,334,350,95.42857142857143,7.218055555555556
234,Always-On,3,3,100.0,7.520833333333333
234,Heuristic,2,3,66.66666666666666,1.2833333333333334
234,RL-Fixed,3,3,100.0,7.086111111111111
