epoch,bp_output_loss,bp_output_mae,learning_rate,loss,ptt_output_loss,ptt_output_mae,val_bp_output_loss,val_bp_output_mae,val_loss,val_ptt_output_loss,val_ptt_output_mae
0,0.4603937864303589,0.4734320640563965,0.0010000000474974513,0.9727739691734314,0.510040283203125,0.5044524073600769,0.7764636278152466,0.6235634088516235,1.5032603740692139,0.7284142374992371,0.6630566716194153
1,0.330962210893631,0.39279991388320923,0.0010000000474974513,0.66750168800354,0.3372325599193573,0.4066983461380005,0.42813560366630554,0.47015413641929626,0.7891719341278076,0.3629390299320221,0.4372711479663849
2,0.3002421259880066,0.3752021789550781,0.0010000000474974513,0.6051685810089111,0.3038775622844696,0.387588232755661,0.37324222922325134,0.42687591910362244,0.759980320930481,0.3892103135585785,0.45080363750457764
3,0.28235581517219543,0.3586388826370239,0.0010000000474974513,0.5674355626106262,0.28455764055252075,0.37190574407577515,0.4523642063140869,0.5126278400421143,0.7893096208572388,0.339385986328125,0.42124515771865845
4,0.27571263909339905,0.35455232858657837,0.0010000000474974513,0.555292546749115,0.27856922149658203,0.3665297329425812,0.3432774543762207,0.41798338294029236,0.6616597771644592,0.32017937302589417,0.41235995292663574
5,0.2583436071872711,0.3409569561481476,0.0010000000474974513,0.5199005603790283,0.2624686062335968,0.35196593403816223,0.34023386240005493,0.4026200473308563,0.7085062265396118,0.37012815475463867,0.4461260735988617
6,0.25131088495254517,0.3399270176887512,0.0010000000474974513,0.5058091878890991,0.25460460782051086,0.34972554445266724,0.3052723705768585,0.37093985080718994,0.5995211005210876,0.2963188886642456,0.37703394889831543
7,0.2485806792974472,0.33695703744888306,0.0010000000474974513,0.49863290786743164,0.2494851052761078,0.3447028696537018,0.4317150413990021,0.5265610218048096,0.8260939717292786,0.3973919153213501,0.4850844144821167
8,0.24225148558616638,0.32886192202568054,0.0010000000474974513,0.47767332196235657,0.2426341474056244,0.3383244574069977,0.35238850116729736,0.4282873868942261,0.7195461392402649,0.36873096227645874,0.4622960388660431
9,0.23343320190906525,0.32695630192756653,0.0010000000474974513,0.46878087520599365,0.23394426703453064,0.3345756530761719,0.25712260603904724,0.3400845229625702,0.5084283947944641,0.2535228133201599,0.3485751450061798
10,0.23766550421714783,0.32710129022598267,0.0010000000474974513,0.47134652733802795,0.2360231727361679,0.33347636461257935,0.344412237405777,0.38012266159057617,0.6635547876358032,0.32115432620048523,0.372062623500824
11,0.23533907532691956,0.326236367225647,0.0010000000474974513,0.46677878499031067,0.23584872484207153,0.3326786458492279,0.25036442279815674,0.31414321064949036,0.49624401330947876,0.24800841510295868,0.3232544958591461
12,0.22634708881378174,0.31929224729537964,0.0010000000474974513,0.45210251212120056,0.2266615778207779,0.32646164298057556,0.289562463760376,0.37637606263160706,0.5951444506645203,0.3066524565219879,0.39169085025787354
